catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
23090030;23090030;BGT Future IEEE B 3HE/84TE/244;Subrack Future IEEE B 3U/84HP/244;Future IEEE B 3U/84F/244P a Eq;Subrack Future IEEE B 3U/84HP/244
23090031;23090031;BGT Future IEEE C 3HE/84TE/244;Subrack Future IEEE C 3U/84HP/244;Future IEEE C 3U/84F/244P a Eq;Subrack Future IEEE C 3U/84HP/244
23090032;23090032;BGT Future IEEE E 3HE/84TE/244;Subrack Future IEEE E 3U/84HP/244;Future IEEE E 3U/84F/244P a Eq;Subrack Future IEEE E 3U/84HP/244
23090033;23090033;BGT Future IEEE B 4HE/84TE/244;Subrack Future IEEE B 4U/84HP/244;Future IEEE B 4U/84F/244P a Eq;Subrack Future IEEE B 4U/84HP/244
23090034;23090034;BGT Future IEEE C 4HE/84TE/244;Subrack Future IEEE C 4U/84HP/244;Future IEEE C 4U/84F/244P a Eq;Subrack Future IEEE C 4U/84HP/244
23090035;23090035;BGT Future IEEE E 4HE/84TE/244;Subrack Future IEEE E 4U/84HP/244;Future IEEE E 4U/84F/244P a Eq;Subrack Future IEEE E 4U/84HP/244
23090036;23090036;BGT Future IEEE B 6HE/84TE/244;Subrack Future IEEE B 6U/84HP/244;Future IEEE B 6U/84F/244P a Eq;Subrack Future IEEE B 6U/84HP/244
23090037;23090037;BGT Future IEEE C 6HE/84TE/244;Subrack Future IEEE C 6U/84HP/244;Future IEEE C 6U/84F/244P a Eq;Subrack Future IEEE C 6U/84HP/244
23090038;23090038;BGT Future IEEE E 6HE/84TE/244;Subrack Future IEEE E 6U/84HP/244;Future IEEE E 6U/84F/244P a Eq;Subrack Future IEEE E 6U/84HP/244
23090040;23090040;BGT Future IEEE B 3HE/84TE/304;Subrack Future IEEE B 3U/84HP/304;Future IEEE B 3U/84F/304P a Eq;Subrack Future IEEE B 3U/84HP/304
23090041;23090041;BGT Future IEEE C 3HE/84TE/304;Subrack Future IEEE C 3U/84HP/304;Future IEEE C 3U/84F/304P a Eq;Subrack Future IEEE C 3U/84HP/304
23090042;23090042;BGT Future IEEE E 3HE/84TE/304;Subrack Future IEEE E 3U/84HP/304;Future IEEE E 3U/84F/304P a Eq;Subrack Future IEEE E 3U/84HP/304
23090043;23090043;BGT Future IEEE B 4HE/84TE/304;Subrack Future IEEE B 4U/84HP/304;Future IEEE B 4U/84F/304P a Eq;Subrack Future IEEE B 4U/84HP/304
23090044;23090044;BGT Future IEEE C 4HE/84TE/304;Subrack Future IEEE C 4U/84HP/304;Future IEEE C 4U/84F/304P a Eq;Subrack Future IEEE C 4U/84HP/304
23090045;23090045;BGT Future IEEE E 4HE/84TE/304;Subrack Future IEEE E 4U/84HP/304;Future IEEE E 4U/84F/304P a Eq;Subrack Future IEEE E 4U/84HP/304
23090046;23090046;BGT Future IEEE B 6HE/84TE/304;Subrack Future IEEE B 6U/84HP/304;Future IEEE B 6U/84F/304P a Eq;Subrack Future IEEE B 6U/84HP/304
23090047;23090047;BGT Future IEEE C 6HE/84TE/304;Subrack Future IEEE C 6U/84HP/304;Future IEEE C 6U/84F/304P a Eq;Subrack Future IEEE C 6U/84HP/304
23090048;23090048;BGT Future IEEE E 6HE/84TE/304;Subrack Future IEEE E 6U/84HP/304;Future IEEE E 6U/84F/304P a Eq;Subrack Future IEEE E 6U/84HP/304
23090050;23090050;BGT Future IEEE B 3HE/84TE/364;Subrack Future IEEE B 3U/84HP/364;Future IEEE B 3U/84F/364P a Eq;Subrack Future IEEE B 3U/84HP/364
23090051;23090051;BGT Future IEEE C 3HE/84TE/364;Subrack Future IEEE C 3U/84HP/364;Future IEEE C 3U/84F/364P a Eq;Subrack Future IEEE C 3U/84HP/364
23090052;23090052;BGT Future IEEE E 3HE/84TE/364;Subrack Future IEEE E 3U/84HP/364;Future IEEE E 3U/84F/364P a Eq;Subrack Future IEEE E 3U/84HP/364
23090053;23090053;BGT Future IEEE B 4HE/84TE/364;Subrack Future IEEE B 4U/84HP/364;Future IEEE B 4U/84F/364P a Eq;Subrack Future IEEE B 4U/84HP/364
23090054;23090054;BGT Future IEEE C 4HE/84TE/364;Subrack Future IEEE C 4U/84HP/364;Future IEEE C 4U/84F/364P a Eq;Subrack Future IEEE C 4U/84HP/364
23090055;23090055;BGT Future IEEE E 4HE/84TE/364;Subrack Future IEEE E 4U/84HP/364;Future IEEE E 4U/84F/364P a Eq;Subrack Future IEEE E 4U/84HP/364
23090056;23090056;BGT Future IEEE B 6HE/84TE/364;Subrack Future IEEE B 6U/84HP/364;Future IEEE B 6U/84F/364P a Eq;Subrack Future IEEE B 6U/84HP/364
23090057;23090057;BGT Future IEEE C 6HE/84TE/364;Subrack Future IEEE C 6U/84HP/364;Future IEEE C 6U/84F/364P a Eq;Subrack Future IEEE C 6U/84HP/364
23090058;23090058;BGT Future IEEE E 6HE/84TE/364;Subrack Future IEEE E 6U/84HP/364;Future IEEE E 6U/84F/364P a Eq;Subrack Future IEEE E 6U/84HP/364
23100150;23100150;Aufnahmeblock f.Codierstift ob;Coding block top;Douille de codage supérieur;Coding block top
23100151;23100151;Aufnahmeblock f.Codierstift un;Coding block bottom;Douille de codage inferieur;Coding block bottom
23100152;23100152;ESD-Feder Alignment Pin;ESD-spring for coding block;Ressort ESD pour douille codag;ESD-spring for coding block
23100153;23100153;Aushebegriff cPCI-E u. sw. mES;Bottom extractor handle, with;poignée extract inf avec goupi;Bottom extractor handle, with
23100154;23100154;Aushebegriff cPCI-E o. sw. mES;Top extractor handle, with ESD;poignée extract sup a goupille;Top extractor handle, with ESD
23100155;23100155;EMV-Kontaktfeder Deckblech;Shielding clip for cover plate;Clip ressort pour fixation cap;Shielding clip for cover plate
23100157;23100157;Codierstifte IEEE   Future/Fer;Coding pin (1 kit=50 pieces);Broche de codage (x50);Coding pin (1 kit=50 pieces)
23100160;23100160;"19"" Eckwinkel Future 3HE mit N";"19"" Mounting bracket Future 3U";Equerre de rackage 3U/19'' FUT;"19"" Mounting bracket Future 3U"
23100161;23100161;"19"" Eckwinkel Future(X) 4HE mi";"19"" mounting bracket Future 4U";Equerre de fixation 4U evoluti;"19"" mounting bracket Future 4U"
23100162;23100162;"19"" Eckwinkel Future(X) 6HE mi";"19"" Mounting bracket Future 6U";Equerre de fixation 19'' 6U al;"19"" Mounting bracket Future 6U"
23100165;23100165;Abschlußblende Future(X) 3HE m;Corner bracket Future 3U, clea;Equerre de finition arrière Fu;Corner bracket Future 3U, clea
23100166;23100166;Abschlußblende Future(X) 4HE m;Cover bracket Future 4U, alod.;Equerre de finition 4U evoluti;Cover bracket Future 4U, alod.
23100167;23100167;Abschlußblende Future(X) 6HE m;Corner bracket Future 6U;Equerre de finition 6U evoluti;Corner bracket Future 6U
23100170;23100170;Seitenwand Future 3HE/244T;Side plate Future 3U/244D, alo;Flanc latéral Future 3U/P.244m;Side plate Future 3U/244D, alo
23100171;23100171;Seitenwand Future 4HE/244T;Side plate Future  4U/244D;Flanc Future 4U/244P;Side plate Future  4U/244D
23100172;23100172;Seitenwand Future 6HE/244T;Side plate Future 6U/244D, alo;Flanc Future 6U/244P;Side plate Future 6U/244D, alo
23100173;23100173;Seitenwand Future 3HE/304T;Side plate Future 3U/304D, alo;Flancs Future 3HE/304P;Side plate Future 3U/304D, alo
23100174;23100174;Seitenwand Future 4HE/304T;Side plate Future  4U/304D;Flanc Future 4U/304P;Side plate Future  4U/304D
23100175;23100175;Seitenwand Future 6HE/304T;Side plate Future 6U/304D, alo;Flanc Future 6U/304P;Side plate Future 6U/304D, alo
23100176;23100176;Seitenwand Future 3HE/364T;Side plate Future 3U/364D, alo;Flanc Future 3U/364P;Side plate Future 3U/364D, alo
23100177;23100177;Seitenwand Future 4HE/364T;Side plate Future 4U/364D;Flanc Future 4U/364P;Side plate Future 4U/364D
23100178;23100178;Seitenwand Future 6HE/364T, ch;Side plate Future 6U/364D, alo;Flanc Future 6U/364P;Side plate Future 6U/364D, alo
23100179;23100179;Seitenwand Future 3HE/180T;Side plate Future 3U/180D alod;Paroi latérale Future 3U/P.180;Side plate Future 3U/180D alod
23100180;23100180;Seitenwand Future 6HE/180T;Side plate Future 6U/180D, alo;Flanc Future 6U/180P;Side plate Future 6U/180D, alo
23100190;23100190;Seitenwand Future 3HE/244T Tox;Side plate Future 3U/244D, sho;Flanc Future 3U/244P sertit;Side plate Future 3U/244D, sho
23100192;23100192;Seitenwand Future 6HE/244T Tox;Side plate Future 6U/244D, sho;Flanc Future 6U/244P sertit;Side plate Future 6U/244D, sho
23100193;23100193;Seitenwand Future 3HE/304T Tox;Side plate Future 3U/304D, sho;Flanc Future 3U/304P sertit;Side plate Future 3U/304D, sho
23100195;23100195;Seitenwand Future 6HE/304T Tox;Side plate Future 6U/304D, sho;Flanc Future 6U/304P sertit;Side plate Future 6U/304D, sho
23100196;23100196;Seitenwand Future 3HE/364T Tox;Side plate Future 3U/364D, sho;Flanc Future 3U/364P sertit;Side plate Future 3U/364D, sho
23100198;23100198;Seitenwand Future 6HE/364T Tox;Side plate Future 6U/364D, sho;Flanc Future 6U/364P sertit;Side plate Future 6U/364D, sho
23100200;23100200;Frontprofil Future standard 42;Horizontal front rail Future 4;Profilé AV Future 42F, Alodine;Horizontal front rail Future 4
23100202;23100202;Frontprofil Future standard 84;Horizontal front rail Future 8;Profilé avant Future 84F passi;Horizontal front rail Future 8
23100203;23100203;Frontprofil Future standard 36;Horizontal front rail Future 3;Profilé avant Future 36F passi;Horizontal front rail Future 3
23100205;23100205;Frontprofil Future IEEE 36TE c;Front rail Future 36HP, alod;Profilé AV Future 36F, passivé;Front rail Future 36HP, alod
23100206;23100206;Frontprofil Future IEEE 42TE,;Front rail Future IEEE 42HP;Profilé AV Future 42F, Alodine;Front rail Future IEEE 42HP
23100208;23100208;Frontprofil Future IEEE 84TE c;Horizontal front rail Future I;Profilé avant FUTURE IEEE 84F;Horizontal front rail Future I
23100209;23100209;Rückprofil Future dual 42TE ch;Rear rail  Future dual 42HP al;Profilé AR double Future 42TE;Rear rail  Future dual 42HP al
23100211;23100211;Rückprofil Future dual 84TE ch;Rear rail Future 84HP, with ch;Profilé AR Future 84TE, av Tar;Rear rail Future 84HP, with ch
23100212;23100212;Frontprofil Future 2-zeilig 42;Front rail Future  two lines 4;Profilé AV fraction.Future 42T;Front rail Future  two lines 4
23100214;23100214;Frontprofil Future 2-zeilig 84;Front rail Future 84HP, double;Profilé avant double Future 84;Front rail Future 84HP, double
23100215;23100215;Zwischenprofil B Future 42TE c;Horizontal center rail B Futur;Profilé intermed. B,Future 42F;Horizontal center rail B Futur
23100217;23100217;Zwischenprofil B Future 84TE c;Horizontal center rail B Futur;Profilé intermed. B,Future 84F;Horizontal center rail B Futur
23100218;23100218;Rückprofil C Future 42TE chrom;Rear rail C, Future 42HP, alod;Profilé AR C, Future 42F, Alod;Rear rail C, Future 42HP, alod
23100220;23100220;Rückprofil C Future 84TE chrom;Rear rail C, Future 84HP, alod;Profilé arrière 84F Future typ;Rear rail C, Future 84HP, alod
23100221;23100221;Rückprofil E Future 42TE chrom;Rear rail E, Future 42HP, alod;Profilé AR E, Future 42F, Alod;Rear rail E, Future 42HP, alod
23100223;23100223;Rückprofil E Future 84TE chrom;Horizontal rear rail E Future;Profilé AR E, Future 84F, Alod;Horizontal rear rail E Future
23100224;23100224;Zwischenprofil-E, Future 42TE;Horizontal center rail E Futur;Profilé intermed. E, Future 42;Horizontal center rail E Futur
23100226;23100226;Zwischenprofil E Future 84TE,;Horizontal center rail E Futur;Profilé inter. Type E Future 8;Horizontal center rail E Futur
23100227;23100227;Rückprofil-B Future 42TE chrom;Horizontal rear rail B Future;Profilé AR B, Future 42TE, Alo;Horizontal rear rail B Future
23100229;23100229;Rückprofil-B Future 84TE chrom;Horizontal rear rail B Future;Profilé arrière Future type B;Horizontal rear rail B Future
23100230;23100230;Rückprofil E Future 42TE chrom;horizontal rear rail Type E Fu;Profilé arrière type E Future;horizontal rear rail Type E Fu
23100231;23100231;Rückprofil E Future 36+1TE chr;Horizontal rear rail E Future;Profilé AR E, Future 36F, Alod;Horizontal rear rail E Future
23100232;23100232;Rückprofil E Future 84TE für D;Horizontal rear rail Type E Fu;Profilé arrière type E Future;Horizontal rear rail Type E Fu
23100233;23100233;Rückprofil E Future 36TE für D;Horizontal rear rail E Future;Profilé arrière E 36F;Horizontal rear rail E Future
23100234;23100234;Zwischenprofil B Future 36TE c;Horiz. center rail B Future 36;Profilé intermed. B,Future 36F;Horiz. center rail B Future 36
23100235;23100235;Zwischenprofil E Future 36TE,;Horizontal center rail E Futur;Profilé intermed. E,Future 36T;Horizontal center rail E Futur
23100236;23100236;Rückprofil B Future 36TE chrom;Horiz. rear rail B Future 36+1;"Profilé AR Future ""B"" 36F alod";Horiz. rear rail B Future 36+1
23100240;23100240;Deckblech Future 42TE, EK160;Cover plate Future 42HP, PCB 1;Tole protect. 42TE/160mm;Cover plate Future 42HP, PCB 1
23100241;23100241;Deckblech Future 84TE, EK 160;Cover plate Future 84HP, PCB 1;Tole protect. 84TE/160mm;Cover plate Future 84HP, PCB 1
23100242;23100242;Deckblech Future 42TE,EK 220;Cover plate Future 42HP, PCB 2;Tole protect. 42TE/220mm;Cover plate Future 42HP, PCB 2
23100243;23100243;Deckblech Future 84TE,EK 220;Cover plate Future 84HP, PCB 2;Tole protect. 84TE/220mm;Cover plate Future 84HP, PCB 2
23100244;23100244;Deckblech dual Future 42TE/244;Cover plate Future 42HP/244D;Tole protect.mont recto/verso;Cover plate Future 42HP/244D
23100245;23100245;Deckblech dual Future 84TE/244;Cover plate Future 84HP/244D;Tole protect.mont recto/verso;Cover plate Future 84HP/244D
23100246;23100246;Deckblech dual Future 42TE/304;Cover plate Future 42HP/304D;Tole protect.mont recto/verso;Cover plate Future 42HP/304D
23100247;23100247;Deckblech dual Future 84TE/304;Cover plate Future 84HP/304D;Tole protect.mont recto/verso;Cover plate Future 84HP/304D
23100248;23100248;Deckblech dual Future 42TE/364;Cover plate Future 42HP/364D;Tole protect.mont recto/verso;Cover plate Future 42HP/364D
23100249;23100249;Deckblech dual Future 84TE/364;Cover plate Future 84HP/364D;Tole protect.mont recto/verso;Cover plate Future 84HP/364D
23100260;23100260;Schutzhaube Future 3HE/42TE/24;Protective hood Fut. 3U/42HP/2;Capot protect. 3U/42TE/244P Ca;Protective hood Fut. 3U/42HP/2
23100261;23100261;Schutzhaube Future 3HE/84TE/24;Protective hood Fut. 3U/84HP/2;Capot protect. 3U/84TE/244P Ca;Protective hood Fut. 3U/84HP/2
23100263;23100263;Schutzhaube Future 4HE/84TE/24;Protective hood Fut. 4U/84HP/2;Capot protect. 4U/84TE/244P Ca;Protective hood Fut. 4U/84HP/2
23100265;23100265;Schutzhaube Future 6HE/84TE/24;Protective hood Fut. 6U/84HP/2;Capot protect. 6U/84TE/244P Ca;Protective hood Fut. 6U/84HP/2
23100267;23100267;Schutzhaube Future 3HE/84TE/24;Protective hood Future  3U/84H;Capot protect. 3U/84TE/244P Ca;Protective hood Future  3U/84H
23100269;23100269;Schutzhaube Future 4HE/84TE/24;Protective hood Future  4U/84H;Capot protect. 4U/84TE/244P Ca;Protective hood Future  4U/84H
23100271;23100271;Schutzhaube Future 6HE/84TE/24;Protective hood Future  6U/84H;Capot protect. 6U/84TE/244P Ca;Protective hood Future  6U/84H
23100272;23100272;Deckblech FutureX 42TE, EK160;Cover plate Future 42HP, PCB 1;Tole protect. 42F/160mm;Cover plate Future 42HP, PCB 1
23100273;23100273;Deckblech FutureX 84TE, EK160;Cover plate Future 84HP, PCB 1;Tole protect. 84F/160mm;Cover plate Future 84HP, PCB 1
23100274;23100274;Deckblech FutureX 42TE, EK220;Cover plate Future 42HP, PCB 2;Tole protect. 42F/220mm;Cover plate Future 42HP, PCB 2
23100275;23100275;Deckblech FutureX 84TE, EK220;Cover plate Future 84HP, PCB 2;Tole protect. 84F/220mm;Cover plate Future 84HP, PCB 2
23100300;23100300;Teilfrontplatte 3HE/4TE Future;Frontpanel 3U/4HP Future;Face AV 3U/4TE evolutive HF;Frontpanel 3U/4HP Future
23100301;23100301;Teilfrontplatte 3HE/6TE Future;Frontpanel 3U/6HP Future;Face AV 3U/6TE evolutive HF;Frontpanel 3U/6HP Future
23100302;23100302;Teilfrontplatte 3HE/8TE Future;Frontpanel 3U/8HP Future;Face AV 3U/8TE evolutive HF;Frontpanel 3U/8HP Future
23100303;23100303;Teilfrontplatte 3HE/10TE Futur;Frontpanel 3U/10HP Future;Face avant 3U/10F FUTURE;Frontpanel 3U/10HP Future
23100304;23100304;Teilfrontplatte 3HE/12TE Futur;Frontpanel 3U/12HP Future;Face AV 3U/12TE evolutive HF;Frontpanel 3U/12HP Future
23100305;23100305;Teilfrontplatte,Nut,3HE/42TE,el/chro;Frontpanel 3U/42HP Future;Face AV 3U/42TE evolutive HF;Frontpanel 3U/42HP Future
23100307;23100307;Teilfrontplatte,Nut,3HE/84TE,el/chro;Frontpanel 3U/84HP Future;Face AV Future 3U/84TE;Frontpanel 3U/84HP Future
23100308;23100308;Teilfrontplatte 6HE/4TE Future;Frontpanel 6U/4HP Future;Face AV 6U/4TE evolutive HF;Frontpanel 6U/4HP Future
23100309;23100309;Teilfrontplatte 6HE/6TE Future;Frontpanel 6U/6HP Future;Face AV 6U/6TE evolutive HF;Frontpanel 6U/6HP Future
23100310;23100310;Teilfrontplatte 6HE/8TE Future;Frontpanel 6U/8HP Future;Face AV 6U/8TE evolutive HF;Frontpanel 6U/8HP Future
23100311;23100311;Teilfrontplatte 6HE/10TE Futur;Frontpanel 6U/10HP Future;Face AV 6U/10TE evolutive HF;Frontpanel 6U/10HP Future
23100312;23100312;Teilfrontplatte 6HE/12TE Futur;Frontpanel 6U/12HP Future;Face AV 6U/12TE evolutive HF;Frontpanel 6U/12HP Future
23100313;23100313;Teilfrontplatte,Nut,6HE/42TE,el/chro;Frontpanel 6U/42HP Future;Face AV 6U/42TE evolutive HF;Frontpanel 6U/42HP Future
23100315;23100315;Teilfrontplatte,Nut,6HE/84TE,el/chro;Frontpanel 6U/84HP Future;Face AV 6U/84TE evolutive HF;Frontpanel 6U/84HP Future
23100330;23100330;ä.DIN 7985  Li.Schr. M4x6 Torx;Screw similar DIN 7985 M4x6 To;Vis similaire DIN 7985 M4x6 T2;Screw similar DIN 7985 M4x6 To
23100350;23100350;Frontplatte 3HE/4TE Future elo;Frontpanel 3U/4HP Future for plug;Face AV pour mod enfich. 3U/4T;Frontpanel 3U/4HP Future for plug
23100351;23100351;Frontplatte 3HE/6TE Future elo;Frontpanel 3U/6HP Future for plug;Face AV pour mod enfich. 3U/6T;Frontpanel 3U/6HP Future for plug
23100352;23100352;Frontplatte 3HE/8TE Future elo;Frontpanel 3U/8HP Future for plug;Face AV pour mod enfich. 3U/8T;Frontpanel 3U/8HP Future for plug
23100353;23100353;Frontplatte 3HE/10TE Future el;Frontpanel 3U/10HP Future for plu;Face AV pour mod enfich. 3U/10;Frontpanel 3U/10HP Future for plu
23100354;23100354;Frontplatte 3HE/12TE Future el;Frontpanel 3U/12HP Future for plu;Face AV pour mod enfich. 3U/12;Frontpanel 3U/12HP Future for plu
23100370;23100370;Frontplatte 6HE/4TE Future elo;Frontpanel 6U/4HP Future for plug;Face AV pour mod enfich. 6U/4T;Frontpanel 6U/4HP Future for plug
23100371;23100371;Frontplatte 6HE/6TE Future elo;Frontpanel 6U/6HP Future for plug;Face AV pour mod enfich. 6U/6T;Frontpanel 6U/6HP Future for plug
23100372;23100372;Frontplatte 6HE/8TE Future elo;Frontpanel 6U/8HP Future for plug;Face AV pour mod enfich. 6U/8T;Frontpanel 6U/8HP Future for plug
23100373;23100373;Frontplatte 6HE/10TE Future el;Frontpanel 6U/10HP Future for plu;Face AV pour mod enfich. 6U/10;Frontpanel 6U/10HP Future for plu
23100374;23100374;Frontplatte 6HE/12TE Future el;Frontpanel 6U/12HP Future for plu;Face AV pour mod enfich. 6U/12;Frontpanel 6U/12HP Future for plu
23100402;23100402;Kartenführung EK160 verst. Fut;Guide rail Fut/FuX reinforced;Guide carte renforcé pour CI=1;Guide rail Fut/FuX reinforced
23100403;23100403;Kartenführung EK220 verst.Fut/;Guide rail Fut/FuX reinforced;Guides cartes Future/Future X;Guide rail Fut/FuX reinforced
23100404;23100404;Kartenführung EK160 FerroRAIL;Guide rail  PCB 160mm FerroRAI;Guide carte CI=160 FerroRAIL,;Guide rail  PCB 160mm FerroRAI
23100405;23100405;Kartenführung EK220 verst.Ferr;Guide rail  PCB 220mm FerroRAI;Guide carte pour PCB220 FerroR;Guide rail  PCB 220mm FerroRAI
23100406;23100406;Aufnahmeblock f.Codierstift ob;Coding block top, Lexan;Bloc de codage supérieur Ferro;Coding block top, Lexan
23100407;23100407;Aufnahmeblock f.Codierstift un;Coding block bottom, Lexan;Bloc de codage inferieur Ferro;Coding block bottom, Lexan
23100408;23100408;Aufnahmeblock f.Codierstift ob;Coding block top green;Bloc de codage sup décalé 0,5F;Coding block top green
23100409;23100409;Aufnahmeblock f.Codierstift un;Coding block bottom green;Bloc de codage inf décalé 0,5F;Coding block bottom green
23100410;23100410;Zylinderschraube DIN7500 M4x12;Pan-head screw DIN 7500 M4x12;Vis DIN 7500 M4x12;Pan-head screw DIN 7500 M4x12
23100424;23100424;Schirmungsmaterial EMV-Feder;Contact clips without assembly;Ressort contact face AV ss out;Contact clips without assembly
23100426;23100426;HF-Ausbausatz 3HE f.Kassette;RFI conversion kit 3U;Kit de cloisonnement HF, 3U;RFI conversion kit 3U
23100427;23100427;HF-Ausbausatz 6HE f.Kassette;Set for RFI 6U for plug-in uni;Kit de cloisonnement HF, 6U;Set for RFI 6U for plug-in uni
23100428;23100428;Montagehilfe EMV-Feder;"Tool for contact clips ""Future";Outil pour ressorts Future;"Tool for contact clips ""Future"
23100429;23100429;Kartenführung EK160 Stand.Fut/;Card guide for PCB 160 Fut/FuX;Guide-carte pour CI=160 Future;Card guide for PCB 160 Fut/FuX
23100430;23100430;EMV-Dichtung D-Form 1,5x2,0mm;Shielding strip form D 1,5x2,0;Joint HF form D 1,5X2,0mm;Shielding strip form D 1,5x2,0
23100431;23100431;EMV-Dichtung D-Form 1,5x2,0mm;Shielding strip form D 1,5x2,0;Joint HF form D 1,5X2,0mm;Shielding strip form D 1,5x2,0
23100432;23100432;EMV-Dichtung D-Form 1,5x2,0 L=;Shielding strip  1,5x2,0mm;Joint HF form D 1,5X2,0mm;Shielding strip  1,5x2,0mm
23100434;23100434;Kartenführung EK160 Stand.Fut/;Card guide for PCB 160  Fut/Fu;Guide-carte pour carte 160 Fut;Card guide for PCB 160  Fut/Fu
23100435;23100435;Aufnahmeblock f.Codierstift ob;Coding block top;Douille de codage supérieur;Coding block top
23100436;23100436;Aufnahmeblock f.Codierstift un;Coding block bottom;Douille de codage supérieur;Coding block bottom
23100437;23100437;Kartenführung FutureX  EK280 s;Card guide FutureX for PCB 280;Guide carte FutureX pour EK280;Card guide FutureX for PCB 280
23100438;23100438;Kartenführung EK160 1/2TE IEEE;Card guide 1/2HP  green;Guide carte CI=160 décalé 0,5F;Card guide 1/2HP  green
23100440;23100440;Al-Kartenführungsprofil EK220m;Card guide rail EK220mm;Guide carte CI=220mm;Card guide rail EK220mm
23100441;23100441;Al-Kartenführungsprofil EK280m;Card guide rail EK 280 Future;Guide carte CI=280mm;Card guide rail EK 280 Future
23100442;23100442;Kartenführung Rear I/O 80 (Sat;Card guide Future for Rear I/O;Guide carte Future Rear I/O (j;Card guide Future for Rear I/O
23100443;23100443;Kartenführung EK160 Fut/FuX Nu;Guide rail Fut/FuX PCB 160 2,4;Guide carte pour CI=160 2,4;Guide rail Fut/FuX PCB 160 2,4
23100514;23100514;Frontplatte HF 3HE/14TE  elox/;Frontpanel RFI 3U/14HP for PI;Face avant pour unités enficha;Frontpanel RFI 3U/14HP for PI
23100521;23100521;Frontplatte HF 3HE/21TE;Frontpanel for plug-in units;Face avant pour unités enficha;Frontpanel for plug-in units
23100528;23100528;Frontplatte HF 3HE/28TE;Frontpanel for plug-in units;Face avant pour unités enficha;Frontpanel for plug-in units
23100614;23100614;Frontplatte HF 6HE/14TE für Ka;Frontpanel for plug-in units;Face avant pour unités enficha;Frontpanel for plug-in units
23100621;23100621;Frontplatte HF 6HE/21TE;Frontpanel for plug-in units;Face avant pour unités enficha;Frontpanel for plug-in units
23100628;23100628;Frontplatte HF 6HE/28TE;Frontpanel for plug-in units;Face avant pour unités enficha;Frontpanel for plug-in units
23100706;23100706;Frontplatte Schirmbgr. 3HE/6TE;Frontpanel 3U/6HP for plug-in;Face avant pour unités enficha;Frontpanel 3U/6HP for plug-in
23100708;23100708;Frontplatte 3HE/8TE für Schirm;Frontpanel for plug-in unit 3;Face avant pour modules enfich;Frontpanel for plug-in unit 3
23100710;23100710;Frontplatte Schirmbgr. 3HE/10T;Frontpanel for plug-in unit 3U/10;Face avant 3U/10F pour unité e;Frontpanel for plug-in unit 3U/10
23100712;23100712;Frontplatte Schirmbgr. 3HE/12T;Frontpanel for plu-in units,;Face avant pour modules enfich;Frontpanel for plu-in units,
23100800;23100800;U-Front 3HE/4TE elox/chrom.;Frontpanel 3U/4HP U-profile;Faces avant, 3U/4F profil en U;Frontpanel 3U/4HP U-profile
23100801;23100801;U-Front 3HE/6TE elox/chrom.;Frontpanel 3U/6HP U-profile;Faces avant 3U/6F, profil en U;Frontpanel 3U/6HP U-profile
23100802;23100802;U-Front 3HE/8TE elox/chrom.;Frontpanel 3U/8HP U-profile;Faces avant 3U/8F, profil en U;Frontpanel 3U/8HP U-profile
23100803;23100803;U-Front 3HE/10TE elox/chrom.;Frontpanel 3U/10HP U-profile;Faces avant 3U/10F, profil en;Frontpanel 3U/10HP U-profile
23100804;23100804;U-Front 3HE/12TE elox/chrom.;Frontpanel 3U/12HP U-profile;Faces avant 3U/12F, profil en;Frontpanel 3U/12HP U-profile
23100820;23100820;U-Front 6HE/4TE elox/chrom.;Frontpanel 6U/4HP U-profile;Faces avant 6U/4F, profil en U;Frontpanel 6U/4HP U-profile
23100821;23100821;U-Front 6HE/6TE elox/chrom.;Frontpanel 6U/6HP U-profile;Faces avant 6U/6F, profil en U;Frontpanel 6U/6HP U-profile
23100822;23100822;U-Front 6HE/8TE elox/chrom.;Frontpanel 6U/8HP U-profile;Faces avant 6U/8F, profil en U;Frontpanel 6U/8HP U-profile
23100823;23100823;U-Front 6HE/10TE elox/chrom.;Frontpanel 6U/10HP U-profile;Faces avant 6U/10F, profil en;Frontpanel 6U/10HP U-profile
23100824;23100824;U-Front 6HE/12TE elox/chrom.;Frontpanel 6U/12HP U-profile;Faces avant 6U/12F, profil en;Frontpanel 6U/12HP U-profile
23100850;23100850;U-Steckbgr. 3HE/4TE elox/chrom;Frontpanel for plug-in mod. U-pro;Face av. p. mod enfich. profil;Frontpanel for plug-in mod. U-pro
23100851;23100851;U-Steckbgr. 3HE/6TE elox/chrom;Frontpanel for plug-in mod. U-pro;Face av. p. mod enfich. profil;Frontpanel for plug-in mod. U-pro
23100852;23100852;U-Steckbgr. 3HE/8TE elox/chrom;Frontpanel for plug-in mod. U-pro;Face av. p. mod enfich. profil;Frontpanel for plug-in mod. U-pro
23100853;23100853;U-Steckbgr. 3HE/10TE elox/chro;Frontpanel for plug-in mod. U-pro;Face av. p. mod enfich. profil;Frontpanel for plug-in mod. U-pro
23100854;23100854;U-Steckbgr. 3HE/12TE elox/chro;Frontpanel for plug-in mod. U-pro;Face av. p. mod enfich. profil;Frontpanel for plug-in mod. U-pro
23100870;23100870;U-Steckbgr. 6HE/4TE elox/chrom;Frontpanel for plug-in mod. U-pro;Face av. p. mod enfich. profil;Frontpanel for plug-in mod. U-pro
