catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
79914000;79914000;DIN 7985 M3x6 vernickelt;DIN 7985 M3x6, nickel plated;Vis TC, M3x6, DIN 7985;DIN 7985 M3x6, nickel plated
79914100;79914100;Einlegemutter M4 A2;Inserting nut M4;Insérer la noix M4;Inserting nut M4
79914200;79914200;DIN 966 M4x8 unterku+vernickel;DIN 966 M4x8 nickel plated;Vis TFB PZD, M4x8, DIN 966;DIN 966 M4x8 nickel plated
79914300;79914300;DIN 84 M5x12 vernickelt;DIN 84 M5x12, nickel plated;Vis TC, M5x12, DIN 84;DIN 84 M5x12, nickel plated
79914400;79914400;Vierkantmutter m. Plastikschl.;Square nut with plastic slide;Cage plastique + écrou carré,;Square nut with plastic slide
79914800;79914800;DIN 965 M4x12 unterkupfert u.;DIN 965 M4x12, nickel plated;Vis TF M4x12, DIN 965;DIN 965 M4x12, nickel plated
79915000;79915000;Schnellverschluss für Frontpla;Quick release lock;Vis imperdable 1/4 tour;Quick release lock
79915400;79915400;4knt-Mutter ähnl. DIN562 M3 SW;Sqaure nut M 3 SW5;Ecrou carré, M3 / SW 5;Sqaure nut M 3 SW5
79918200;79918200;DIN 966 M2,5x8 schwarz verzink;Posidrive countersink screw M2;Vis TFB PZD, M2,5x8, DIN 966;Posidrive countersink screw M2
79918500;79918500;Linsenschraube ISO14583 M6x16;Pan head screw M6 x 16 ISO1458;Vis ISO 14583 M6x16 Torx 30 in;Pan head screw M6 x 16 ISO1458
79918700;79918700;DIN 7985 M2,5 x 8 verzinkt;Screw DIN 7985 M2,5 x 8 zinc p;Vis TC, M2,5x8, DIN 7985;Screw DIN 7985 M2,5 x 8 zinc p
79918800;79918800;DIN 7985 M2,5x12 verzinkt;Screw DIN 7985 M2,5x12;Vis TC, M2,5x12, DIN 7985;Screw DIN 7985 M2,5x12
79918900;79918900;DIN 914 M2,5x8 A2;Grub Screw M2.5x8 A2 DIN914;Vis sans tête 6 pans creux DIN;Grub Screw M2.5x8 A2 DIN914
80217000;80217000;Ausbausatz E  3HE/84TE  chroma;Conversion kit E, 3U/84HP, chr;"Kit de cloisonnement type ""E""";Conversion kit E, 3U/84HP, chr
80217001;80217001;Ausbausatz B  3HE/84TE  chroma;"Conversion kit ""B"", 3U/84HP, a";Kit cloison. version B, 3U/84H;"Conversion kit ""B"", 3U/84HP, a"
80217010;80217010;Ausbausatz B, 3HE/42TE, chr;Conversion kit B, 3U/42HP, alo;Kit cloison. version B, 3U/42H;Conversion kit B, 3U/42HP, alo
80411003;80411003;"19""-Eckwinkel Future(X) standa";"19""-mounting bracket 3U, alod.";Equerre de rackage 19'' Future;"19""-mounting bracket 3U, alod."
80411004;80411004;"19"" Eckwinkel Future(X) standa";"19""-mounting bracket RFI 3U, w";Equerre 3U,+ tr poign, alod;"19""-mounting bracket RFI 3U, w"
80411007;80411007;"19"" Eckwinkel Future 6HE m.G";Corner bracket RFI 6U, alod.,w;Equerre 6U,+ tr poign, alod;Corner bracket RFI 6U, alod.,w
80411008;80411008;"19"" Eckwinkel Future(X) standa";"19""-mounting bracket 6U, witho";Equerre 6U,ss tr poign, alod;"19""-mounting bracket 6U, witho"
80411020;80411020;Abschlußblende Future(X) stand;Corner bracket RFI 3U, alod, w;Equerre de finition 3U, sans r;Corner bracket RFI 3U, alod, w
80411021;80411021;Abschlußblende Future(X) stand;Corner bracket RFI 6U, alod, w;Equerre de finition 6U, sans r;Corner bracket RFI 6U, alod, w
87000002;87000002;"19""-BGT S.76, 3HE/240T, B";"19""-Subrack Series 76, 3U/240D, Ba";Bac Sér76, 3U/240P/version B;"19""-Subrack Series 76, 3U/240D, Ba"
87000003;87000003;"19""-BGT S.76, 3HE/240T, C";"19""-Subrack Series 76, 3U/240D, Ba";Bac Sér76, 3U/240P/version C;"19""-Subrack Series 76, 3U/240D, Ba"
87301000;87301000;"19""-BGT S.76, 3HE/172,5T, B";"19""-Subrack Series 76, 3U/172,5D,";Bac Sér76, 3U/172,5P/version B;"19""-Subrack Series 76, 3U/172,5D,"
87302000;87302000;"19""-BGT S.76, 3HE/172,5T, C";"19""-Subrack Series 76, 3U/172,5D,";Bac Sér76, 3U/172,5P/version C;"19""-Subrack Series 76, 3U/172,5D,"
87311000;87311000;"19""-BGT S.76, 3HE/210T, B";"19""-Subrack Series 76, 3U/210D,";Bac Sér76, 3U/210P/version B;"19""-Subrack Series 76, 3U/210D,"
87312000;87312000;"19""-BGT S.76, 3HE/210T, C";"19""-Subrack Series 76, 3U/210D,";Bac Sér76, 3U/210P/version C;"19""-Subrack Series 76, 3U/210D,"
87361000;87361000;Ausbausatz horizontal 3HE/EK16;Conversion kit horizontal, 3U/;Kit cloison horiz,3U/172,5P/ve;Conversion kit horizontal, 3U/
87362000;87362000;Ausbausatz horizontal 3HE/EK16;Assy. Kit horizontal, 3U/172,5;Kit cloison horiz,3U/172,5P/ve;Assy. Kit horizontal, 3U/172,5
87371000;87371000;Ausbausatz horizontal 3HE/EK22;Assy. Kit horizontal, 3U/232,5;Kit cloison horiz,3U/232,5P/ve;Assy. Kit horizontal, 3U/232,5
87372000;87372000;Ausbausatz horizontal 3HE/EK22;Assy. Kit horizontal, 3U/232,5;Kit cloison horiz,3U/232,5P/ve;Assy. Kit horizontal, 3U/232,5
90010000;90010000;Frontprofil L=2700mm, elox., m;Front Rail Anodized, Stock len;Profilé av anodisé, 2700mm;Front Rail Anodized, Stock len
90010100;90010100;Frontprofil Standard 84TE, elo;Horizontal front rail 84HP, an;Profilé av anodisé, 84F;Horizontal front rail 84HP, an
90010200;90010200;Frontprofil Standard 42TE, elo;Front Rail Anodized, 42HP;Profilé avant anodisé, 42HP;Front Rail Anodized, 42HP
90010300;90010300;Frontprofil Standard 63TE, elo;Front Rail Anodized, 63HP;Profilé av anodisé, 63F;Front Rail Anodized, 63HP
90014100;90014100;Frontprofil Standard 84TE, chr;Horizontal front rail 84HP, al;Profilé AV alodine, 84F;Horizontal front rail 84HP, al
90014200;90014200;Frontprofil Standard 42TE, chr;Front Rail Alodined, 42HP;Profilé av alodiné, 42F;Front Rail Alodined, 42HP
90014300;90014300;Frontprofil Standard 63TE, chr;Front Rail Alodined, 63HP;Profilé av alodiné, 63F;Front Rail Alodined, 63HP
90033100;90033100;"19"" Eckwinkel S.77 eloxiert 3H";Corner Bracket Series 77, 3U,;Equerre Sér77, 3U, anod.,ss tr;Corner Bracket Series 77, 3U,
90033200;90033200;"19"" Eckwinkel S.77 eloxiert 3H";Corner Bracket Series 77, 3U,;Equerre Sér77, 3U, anod.,+ tr;Corner Bracket Series 77, 3U,
90033300;90033300;"19"" Eckwinkel S.77 RAL7032 3HE";"19"" Bracket Series 77, 3U, RAL";Equerre Sér77, 3U, RAL7032,ss;"19"" Bracket Series 77, 3U, RAL"
90033400;90033400;"19"" Eckwinkel S.77 RAL7032 3HE";Corner Bracket Series 77, 3U,;Equerre Sér77, 3U, RAL7032,+ t;Corner Bracket Series 77, 3U,
90033500;90033500;"19""-Eckwinkel Serie 77, ohne G";Corner Bracket Series 77, 3U,;Equerre Sér.77 3U, alod.,ss tr;Corner Bracket Series 77, 3U,
90033600;90033600;"19"" Eckwinkel S.77 chromatiert";"19"" Bracket Series 77, 3U, Alo";Equerre Sér77, 3U, alod,+ tr p;"19"" Bracket Series 77, 3U, Alo"
90034100;90034100;"19"" Eckwinkel S.77 eloxiert 4H";"19"" mounting bracket S.77, 4U,";Equerre Sér77, 4U, anod.,ss tr;"19"" mounting bracket S.77, 4U,"
90034200;90034200;"19"" Eckwinkel S.77 eloxiert 4H";Corner Brackets Series 77, 4U,;Equerre Sér77, 4U, anod.,+ tr;Corner Brackets Series 77, 4U,
90034500;90034500;"19"" Eckwinkel S.77 chromatiert";"19""-mounting bracket S.77 4U,";Equerre Sér77, 4U, alod,ss tr;"19""-mounting bracket S.77 4U,"
